,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Sub-subheading,Subheading,Main Heading,Links,Full Links,clean_articles
0,0,0,0,Wuhan lab origin,Wuhan lab origin,Virus origin,"['/wiki/COVID-19_lab_leak_theory', '/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', '/wiki/COVID-19']","['https://en.wikipedia.org/wiki/COVID-19_lab_leak_theory', 'https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', 'https://en.wikipedia.org/wiki/COVID-19']",[]
1,1,1,1,Bio-weapon,Wuhan lab origin,Virus origin,"['/wiki/Israeli_secret_service', '/wiki/The_Washington_Times', '/wiki/Biosafety_level_4', '/wiki/Wuhan_Institute_of_Virology', '/wiki/Li-Meng_Yan', '/wiki/Preprint', '/wiki/Steve_Bannon', '/wiki/Guo_Wengui', '/wiki/Expatriate', '/wiki/Anti-Chinese_sentiment', '/wiki/Echo_chamber_(media)', '/wiki/Plandemic', '/wiki/The_Epoch_Times', '/wiki/Chinese_Communist_Party', '/wiki/Falun_Gong', '/wiki/Misinformation_related_to_the_COVID-19_pandemic#Misinformation_regarding_virus_origin', '/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', '/wiki/Chinese_Communist_Party', '/wiki/Fort_Detrick', '/wiki/Andrew_Bridgen']","['https://en.wikipedia.org/wiki/Israeli_secret_service', 'https://en.wikipedia.org/wiki/The_Washington_Times', 'https://en.wikipedia.org/wiki/Biosafety_level_4', 'https://en.wikipedia.org/wiki/Wuhan_Institute_of_Virology', 'https://en.wikipedia.org/wiki/Li-Meng_Yan', 'https://en.wikipedia.org/wiki/Preprint', 'https://en.wikipedia.org/wiki/Steve_Bannon', 'https://en.wikipedia.org/wiki/Guo_Wengui', 'https://en.wikipedia.org/wiki/Expatriate', 'https://en.wikipedia.org/wiki/Anti-Chinese_sentiment', 'https://en.wikipedia.org/wiki/Echo_chamber_(media)', 'https://en.wikipedia.org/wiki/Plandemic', 'https://en.wikipedia.org/wiki/The_Epoch_Times', 'https://en.wikipedia.org/wiki/Chinese_Communist_Party', 'https://en.wikipedia.org/wiki/Falun_Gong', 'https://en.wikipedia.org/wiki/Misinformation_related_to_the_COVID-19_pandemic#Misinformation_regarding_virus_origin', 'https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', 'https://en.wikipedia.org/wiki/Chinese_Communist_Party', 'https://en.wikipedia.org/wiki/Fort_Detrick', 'https://en.wikipedia.org/wiki/Andrew_Bridgen']","['/wiki/Biosafety_level_4', '/wiki/Wuhan_Institute_of_Virology', '/wiki/Steve_Bannon', '/wiki/Anti-Chinese_sentiment', '/wiki/Echo_chamber_(media)', '/wiki/Plandemic']"
2,2,2,2,Gain-of-function research,Wuhan lab origin,Virus origin,"['/wiki/Gain-of-function_research', '/wiki/Angela_Rasmussen', '/wiki/Tucker_Carlson', '/wiki/Nicholas_Wade', '/wiki/Rand_Paul', '/wiki/Ralph_Baric', '/wiki/Francis_Collins', '/wiki/Chimeric_virus']","['https://en.wikipedia.org/wiki/Gain-of-function_research', 'https://en.wikipedia.org/wiki/Angela_Rasmussen', 'https://en.wikipedia.org/wiki/Tucker_Carlson', 'https://en.wikipedia.org/wiki/Nicholas_Wade', 'https://en.wikipedia.org/wiki/Rand_Paul', 'https://en.wikipedia.org/wiki/Ralph_Baric', 'https://en.wikipedia.org/wiki/Francis_Collins', 'https://en.wikipedia.org/wiki/Chimeric_virus']",['/wiki/Nicholas_Wade']
3,3,3,3,Accidental release of collected sample,Wuhan lab origin,Virus origin,"['/wiki/Tedros_Adhanom_Ghebreyesus', '/wiki/Science_(journal)']","['https://en.wikipedia.org/wiki/Tedros_Adhanom_Ghebreyesus', 'https://en.wikipedia.org/wiki/Science_(journal)']",['/wiki/Science_(journal)']
4,4,4,4,Stolen from Canadian lab,Stolen from Canadian lab,Virus origin,"['/wiki/Health_Canada', '/wiki/Public_Health_Agency_of_Canada', '/wiki/Canadian_Broadcasting_Corporation', '/wiki/National_Microbiology_Laboratory', '/wiki/Biosafety_level#Biosafety_level_4', '/wiki/Royal_Canadian_Mounted_Police', '/wiki/NATO', '/wiki/Jens_Stoltenberg']","['https://en.wikipedia.org/wiki/Health_Canada', 'https://en.wikipedia.org/wiki/Public_Health_Agency_of_Canada', 'https://en.wikipedia.org/wiki/Canadian_Broadcasting_Corporation', 'https://en.wikipedia.org/wiki/National_Microbiology_Laboratory', 'https://en.wikipedia.org/wiki/Biosafety_level#Biosafety_level_4', 'https://en.wikipedia.org/wiki/Royal_Canadian_Mounted_Police', 'https://en.wikipedia.org/wiki/NATO', 'https://en.wikipedia.org/wiki/Jens_Stoltenberg']","['/wiki/Health_Canada', '/wiki/Public_Health_Agency_of_Canada', '/wiki/Canadian_Broadcasting_Corporation', '/wiki/National_Microbiology_Laboratory']"
5,5,5,5,Accusations by China,Accusations by China,Virus origin,"['/wiki/COVID-19_misinformation_by_China', '/wiki/Cyberwarfare_by_China', '/wiki/Propaganda_in_China', '/wiki/Chinese_information_operations_and_information_warfare', '/wiki/The_Economist', '/wiki/ProPublica', '/wiki/China_News_Service', '/wiki/United_Front_Work_Department', '/wiki/Global_Times', '/wiki/Xinhua_News_Agency', '/wiki/NBC_News', '/wiki/Zhao_Lijian', '/wiki/Geng_Shuang', '/wiki/2019_Military_World_Games', '/wiki/Influenza-like_illness', '/wiki/Road_bicycle_racing', '/wiki/Hua_Chunying', '/wiki/United_States_biological_weapons_program', '/wiki/Fort_Detrick', '/wiki/Foreign_Policy', '/wiki/Zhao_Lijian']","['https://en.wikipedia.org/wiki/COVID-19_misinformation_by_China', 'https://en.wikipedia.org/wiki/Cyberwarfare_by_China', 'https://en.wikipedia.org/wiki/Propaganda_in_China', 'https://en.wikipedia.org/wiki/Chinese_information_operations_and_information_warfare', 'https://en.wikipedia.org/wiki/The_Economist', 'https://en.wikipedia.org/wiki/ProPublica', 'https://en.wikipedia.org/wiki/China_News_Service', 'https://en.wikipedia.org/wiki/United_Front_Work_Department', 'https://en.wikipedia.org/wiki/Global_Times', 'https://en.wikipedia.org/wiki/Xinhua_News_Agency', 'https://en.wikipedia.org/wiki/NBC_News', 'https://en.wikipedia.org/wiki/Zhao_Lijian', 'https://en.wikipedia.org/wiki/Geng_Shuang', 'https://en.wikipedia.org/wiki/2019_Military_World_Games', 'https://en.wikipedia.org/wiki/Influenza-like_illness', 'https://en.wikipedia.org/wiki/Road_bicycle_racing', 'https://en.wikipedia.org/wiki/Hua_Chunying', 'https://en.wikipedia.org/wiki/United_States_biological_weapons_program', 'https://en.wikipedia.org/wiki/Fort_Detrick', 'https://en.wikipedia.org/wiki/Foreign_Policy', 'https://en.wikipedia.org/wiki/Zhao_Lijian']","['/wiki/Propaganda_in_China', '/wiki/Chinese_information_operations_and_information_warfare', '/wiki/China_News_Service', '/wiki/Xinhua_News_Agency', '/wiki/NBC_News', '/wiki/Influenza-like_illness', '/wiki/Hua_Chunying', '/wiki/United_States_biological_weapons_program']"
6,6,6,6,Accusations by Russia,Accusations by Russia,Virus origin,"['/wiki/Cyberwarfare_by_Russia', '/wiki/Propaganda_in_the_Russian_Federation', '/wiki/Instagram', '/wiki/CIA', '/wiki/2022_Russian_invasion_of_Ukraine', '/wiki/Joe_Biden', '/wiki/Hunter_Biden', '/wiki/George_Soros', '/wiki/Tucker_Carlson']","['https://en.wikipedia.org/wiki/Cyberwarfare_by_Russia', 'https://en.wikipedia.org/wiki/Propaganda_in_the_Russian_Federation', 'https://en.wikipedia.org/wiki/Instagram', 'https://en.wikipedia.org/wiki/CIA', 'https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine', 'https://en.wikipedia.org/wiki/Joe_Biden', 'https://en.wikipedia.org/wiki/Hunter_Biden', 'https://en.wikipedia.org/wiki/George_Soros', 'https://en.wikipedia.org/wiki/Tucker_Carlson']","['/wiki/Cyberwarfare_by_Russia', '/wiki/Propaganda_in_the_Russian_Federation', '/wiki/Instagram', '/wiki/CIA']"
7,7,7,7,Accusations by other countries,Accusations by other countries,Virus origin,"['/wiki/Middle_East_Media_Research_Institute', '/wiki/YouGov', '/wiki/Reza_Malekzadeh', '/wiki/Qom', '/wiki/Donald_Trump', '/wiki/Reza_Malekzadeh', '/wiki/USCENTCOM', '/wiki/Globsec', '/wiki/Eastern_Europe']","['https://en.wikipedia.org/wiki/Middle_East_Media_Research_Institute', 'https://en.wikipedia.org/wiki/YouGov', 'https://en.wikipedia.org/wiki/Reza_Malekzadeh', 'https://en.wikipedia.org/wiki/Qom', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Reza_Malekzadeh', 'https://en.wikipedia.org/wiki/USCENTCOM', 'https://en.wikipedia.org/wiki/Globsec', 'https://en.wikipedia.org/wiki/Eastern_Europe']","['/wiki/Middle_East_Media_Research_Institute', '/wiki/YouGov', '/wiki/Qom', '/wiki/USCENTCOM', '/wiki/Eastern_Europe']"
8,8,8,8,Jewish origin,Jewish origin,Virus origin,['/wiki/Antisemitic_canard'],['https://en.wikipedia.org/wiki/Antisemitic_canard'],['/wiki/Antisemitic_canard']
9,9,9,9,In the Muslim world,Jewish origin,Virus origin,"['/wiki/Press_TV', '/wiki/Zionist', '/wiki/Avian_flu', '/wiki/SARS', '/wiki/Insider_trading', '/wiki/Crimean–Congo_hemorrhagic_fever', '/wiki/Fatih_Erbakan', '/wiki/COVID-19_vaccine', '/wiki/Naser_Makarem_Shirazi', '/wiki/Halal', '/wiki/Press_TV', '/wiki/Yeni_Akit', '/wiki/Compulsory_sterilization']","['https://en.wikipedia.org/wiki/Press_TV', 'https://en.wikipedia.org/wiki/Zionist', 'https://en.wikipedia.org/wiki/Avian_flu', 'https://en.wikipedia.org/wiki/SARS', 'https://en.wikipedia.org/wiki/Insider_trading', 'https://en.wikipedia.org/wiki/Crimean–Congo_hemorrhagic_fever', 'https://en.wikipedia.org/wiki/Fatih_Erbakan', 'https://en.wikipedia.org/wiki/COVID-19_vaccine', 'https://en.wikipedia.org/wiki/Naser_Makarem_Shirazi', 'https://en.wikipedia.org/wiki/Halal', 'https://en.wikipedia.org/wiki/Press_TV', 'https://en.wikipedia.org/wiki/Yeni_Akit', 'https://en.wikipedia.org/wiki/Compulsory_sterilization']","['/wiki/Zionist', '/wiki/Avian_flu', '/wiki/Crimean–Congo_hemorrhagic_fever', '/wiki/Naser_Makarem_Shirazi', '/wiki/Halal', '/wiki/Compulsory_sterilization']"
